,Opening ID,Hardskill
0,0,UNIX
1,0,React
2,0,JavaScript
3,0,Typescript
4,0,Web
5,0,Scraping
6,0,Angular
7,1,Corporate Publications Corporate Relations
8,2,Employment Ordinance
9,2,Patents
10,2,IPO Intellectual Property
11,3,Feasibility Studies Field Studies
12,3,Lab Management
13,3,RandD Management Simulation Dev.
14,3,Patent Application
15,3,Design and Specification
16,3,Statistical Analysis
17,4,Salary Administration Succession Planning
18,4,Arbitration/Mediation
19,5,Word Processing
20,5,Contract Negotiation
21,5,Office Management Policies and Procedures
22,6,Gastronomy
23,7,Investor Collateral Media Presentations
24,7,Government Relations
25,7,Risk Mgt Communicat
26,7,Speech Writing Corporate Image
27,8,Agriculture
28,9,Computer Science
29,10,Mechanical Engineering
30,11,Military Training
31,12,Licensing Mergers and Acquisitions
32,12,Copyrights and Trademarks
33,12,Contract Preparation
34,12,Employment Ordinance
35,12,Patents
36,12,Corporate Law Company Secretary
37,12,International Agreements
38,13,Organizational Development
39,13,Investor Relations IPO
40,13,Joint Ventures
41,13,Developing Policies
42,13,Government Relations Hiring
43,13,Cost Control Decision Making
44,13,Project Management Staff Development
45,14,Equity/Debt Management
46,14,Math
47,14,Financing Forecasting
48,14,Accounting Management
49,15,Cost Control
50,15,General Ledger Insurance
51,15,Risk Management
52,15,Financial Reporting
53,15,Investor Presentations
54,15,Fund Management Profit Planning
55,15,Banking Relations
56,15,Cash Management Cost Accounting
57,15,Foreign Exchange
58,15,Lending
59,15,Investor Relations IPO
60,15,Payroll
61,15,Capital Investment
62,15,Treasury
63,15,Internal Controls
64,15,Accounting Management
65,15,Acquisitions and Mergers
66,15,Accounts Payable
67,16,IPO Intellectual Property
68,16,Corporate Law Company Secretary
69,16,Contract Preparation
70,16,Licensing Mergers and Acquisitions
71,17,Math
72,17,Money
73,18,Sociology
74,19,Sociology
75,20,Records Management Security
76,21,Fund Management Profit Planning
77,21,Accounts Payable
78,21,Cost Control
79,21,Cash Management Cost Accounting
80,21,Feasibility StudiesFinancial Analysis
81,21,Financing Forecasting
82,21,Equity/Debt Management
83,21,Credit/Collections Debt Negotiations
84,21,Treasury
85,21,Budget Control Capital Budgeting
86,22,IPO Intellectual Property
87,22,International Agreements
88,22,Patents
89,22,Employment Ordinance
90,23,Licensing Mergers and Acquisitions
91,23,International Agreements
92,23,IPO Intellectual Property
93,23,Contract Preparation
94,24,Distribution
95,25,Typescript
96,25,HTML
97,25,CSS
98,25,Angular
99,26,Agriculture
100,27,Call Centre Operations
101,28,Military Training
102,29,Physics
103,30,Agriculture
104,31,Math
105,31,Finances
106,32,Gastronomy
107,33,Customer Service
108,33,Sales Analysis
109,33,Sales Kits Sales Management
110,33,E-Commerce
111,33,Show Room Management Sales Support
112,33,B2B
113,33,New Account Development
114,33,Account Management
115,33,Direct Sales Distributor Relations
116,33,Sales Administration
117,33,Telemarketing
118,33,Proposal Writing Product Demonstrations
119,33,International Business Development International Expansion
120,34,RandD Management Simulation Dev.
121,35,Military Training
122,36,Product Development Product Testing
123,36,Lab Management
124,36,RandD Management Simulation Dev.
125,36,Lab Design New Equipment Design
126,36,Design and Specification
127,36,Technical Writing
128,36,Diagnostics
129,36,Patent Application
130,36,Feasibility Studies Field Studies
131,36,Prototype Development
132,37,Sociology
133,38,Medicine
134,39,Drawing Musical Composition
135,39,Character Development
136,40,Construction
137,41,Money
138,42,Android
139,42,Java
140,43,Financing
141,44,Art
142,45,IPO Intellectual Property
143,45,Contract Preparation
144,45,Licensing Mergers and Acquisitions
145,45,Patents
146,45,Employment Ordinance
147,45,Copyrights and Trademarks
148,46,Gastronomy
149,47,Agriculture
150,48,Traffic Management Warehousing
151,48,JIT Purchasing and Procurement Shipping
152,48,Transportation
153,49,Press Release
154,49,Government Relations
155,49,Community Relations
156,49,Corporate Publications Corporate Relations
157,49,B2B Communication
158,49,Risk Mgt Communicat
159,50,Process Engineering Production Planning
160,50,Equipment Design
161,50,ISO 9XXX / 1XXXXX
162,50,Quality Assurance
163,50,Safety Engineering
164,50,Equipment Maintenance and Repair
165,50,Equipment Management
166,51,Math
167,52,JavaScript
168,52,Angular
169,52,CSS
170,52,HTML
171,52,Web
172,52,Typescript
173,53,Contract Negotiation
174,54,Patents
175,54,Corporate Law Company Secretary
176,54,Copyrights and Trademarks
177,55,Cost Control
178,55,Financial Reporting
179,55,Stockholder Relations Tax
180,55,General Ledger Insurance
181,55,Actuarial/Rating Analysis Auditing
182,55,Investor Relations IPO
183,55,Investor Presentations
184,55,Foreign Exchange
185,55,Payroll
186,55,Acquisitions and Mergers
187,55,Math
188,55,Treasury
189,55,Accounts Payable
190,55,Lending
191,55,Credit/Collections Debt Negotiations
192,55,Lines of Credit Management Reporting
193,55,Risk Management
194,55,Accounting Management
195,56,Typography Print Design and Layout
196,56,Dreamweaver
197,56,Colour Theory
198,56,Flash Freehand
199,56,Corel Draw
200,56,Illustrator
201,57,Advertising
202,57,Product Launch
203,57,Merchandising New Product Development
204,57,Logo Development
205,57,Channel Marketing Competitive Analysis
206,57,Copywriting
207,58,Accounting Management
208,58,Treasury
209,58,Credit/Collections Debt Negotiations
210,58,Stockholder Relations Tax
211,58,Venture Capital Relations Accounts Receivable
212,58,Internal Controls
213,58,Capital Investment
214,58,Payroll
215,58,Investor Relations IPO
216,58,Math
217,58,Actuarial/Rating Analysis Auditing
218,58,Cash Management Cost Accounting
219,58,General Ledger Insurance
220,58,Lines of Credit Management Reporting
221,58,Fund Management Profit Planning
222,58,Acquisitions and Mergers
223,59,Event Planning Fund Raising
224,59,Investor Collateral Media Presentations
225,59,Corporate Publications Corporate Relations
226,59,Government Relations
227,60,Statistical Analysis
228,60,Design and Specification
229,60,Patent Application
230,60,Product Development Product Testing
231,60,Lab Management
