,Opening ID,Softskill
0,0,Complex Thinking
1,0,Communication
2,0,Teamwork
3,1,Leadership
4,1,Communication
5,1,Emotional Intelligence
6,2,Complex Thinking
7,2,Leadership
8,2,Communication
9,2,Ethics
10,3,Complex Thinking
11,3,Teamwork
12,3,Ethics
13,4,Complex Thinking
14,4,Communication
15,4,Ethics
16,5,Complex Thinking
17,5,Leadership
18,5,Communication
19,6,Leadership
20,6,Communication
21,6,Emotional Intelligence
22,7,Leadership
23,7,Communication
24,7,Emotional Intelligence
25,7,Teamwork
26,8,Proactivity
27,8,Teamwork
28,8,Resilience
29,9,Complex Thinking
30,9,Proactivity
31,9,Ethics
32,10,Complex Thinking
33,10,Communication
34,10,Ethics
35,11,Leadership
36,11,Proactivity
37,11,Ethics
38,12,Complex Thinking
39,12,Proactivity
40,12,Resilience
41,13,Leadership
42,13,Communication
43,13,Teamwork
44,14,Complex Thinking
45,14,Proactivity
46,14,Ethics
47,15,Complex Thinking
48,15,Leadership
49,15,Emotional Intelligence
50,16,Leadership
51,16,Emotional Intelligence
52,16,Ethics
53,17,Complex Thinking
54,17,Teamwork
55,17,Resilience
56,18,Ethics
57,18,Emotional Intelligence
58,18,Resilience
59,19,Complex Thinking
60,19,Communication
61,19,Emotional Intelligence
62,20,Complex Thinking
63,20,Leadership
64,20,Resilience
65,21,Complex Thinking
66,21,Proactivity
67,21,Resilience
68,22,Complex Thinking
69,22,Emotional Intelligence
70,22,Resilience
71,23,Complex Thinking
72,23,Communication
73,23,Resilience
74,23,Ethics
75,24,Complex Thinking
76,24,Ethics
77,24,Resilience
78,25,Proactivity
79,25,Teamwork
80,25,Resilience
81,26,Leadership
82,26,Proactivity
83,26,Ethics
84,27,Complex Thinking
85,27,Proactivity
86,27,Emotional Intelligence
87,28,Proactivity
88,28,Teamwork
89,28,Communication
90,28,Resilience
91,29,Complex Thinking
92,29,Proactivity
93,29,Teamwork
94,30,Leadership
95,30,Teamwork
96,30,Resilience
97,31,Leadership
98,31,Emotional Intelligence
99,31,Resilience
100,32,Complex Thinking
101,32,Leadership
102,32,Proactivity
103,33,Communication
104,33,Emotional Intelligence
105,33,Proactivity
106,34,Complex Thinking
107,34,Proactivity
108,34,Communication
109,35,Complex Thinking
110,35,Communication
111,35,Resilience
112,36,Complex Thinking
113,36,Leadership
114,36,Proactivity
115,37,Communication
116,37,Emotional Intelligence
117,37,Ethics
118,38,Complex Thinking
119,38,Teamwork
120,38,Resilience
121,39,Proactivity
122,39,Teamwork
123,39,Communication
124,40,Proactivity
125,40,Resilience
126,40,Ethics
127,41,Complex Thinking
128,41,Teamwork
129,41,Resilience
130,42,Complex Thinking
131,42,Proactivity
132,42,Teamwork
133,43,Communication
134,43,Emotional Intelligence
135,43,Teamwork
136,44,Complex Thinking
137,44,Proactivity
138,44,Emotional Intelligence
139,44,Communication
140,45,Complex Thinking
141,45,Communication
142,45,Emotional Intelligence
143,46,Ethics
144,46,Proactivity
145,46,Communication
146,47,Proactivity
147,47,Teamwork
148,47,Communication
149,48,Complex Thinking
150,48,Ethics
151,48,Resilience
152,49,Communication
153,49,Teamwork
154,49,Ethics
155,50,Complex Thinking
156,50,Ethics
157,50,Resilience
158,51,Complex Thinking
159,51,Teamwork
160,51,Resilience
161,52,Complex Thinking
162,52,Proactivity
163,52,Emotional Intelligence
164,53,Leadership
165,53,Communication
166,53,Ethics
167,54,Communication
168,54,Emotional Intelligence
169,54,Ethics
170,55,Complex Thinking
171,55,Leadership
172,55,Ethics
173,56,Complex Thinking
174,56,Communication
175,56,Proactivity
176,57,Complex Thinking
177,57,Leadership
178,57,Communication
179,57,Emotional Intelligence
180,58,Complex Thinking
181,58,Leadership
182,58,Teamwork
183,59,Leadership
184,59,Communication
185,59,Emotional Intelligence
186,60,Complex Thinking
187,60,Communication
188,60,Emotional Intelligence
189,61,Leadership
190,61,Communication
191,61,Emotional Intelligence
192,62,Complex Thinking
193,62,Proactivity
194,62,Teamwork
195,63,Complex Thinking
196,63,Communication
197,63,Proactivity
198,64,Complex Thinking
199,64,Communication
200,64,Ethics
201,65,Complex Thinking
202,65,Leadership
203,65,Ethics
204,66,Complex Thinking
205,66,Proactivity
206,66,Resilience
207,67,Complex Thinking
208,67,Leadership
209,67,Communication
210,68,Emotional Intelligence
211,68,Teamwork
212,68,Ethics
213,69,Proactivity
214,69,Teamwork
215,69,Communication
216,70,Complex Thinking
217,70,Leadership
218,70,Teamwork
219,71,Communication
220,71,Teamwork
221,71,Proactivity
222,72,Complex Thinking
223,72,Communication
224,72,Ethics
225,73,Communication
226,73,Emotional Intelligence
227,73,Resilience
228,74,Communication
229,74,Teamwork
230,74,Proactivity
231,74,Resilience
232,75,Complex Thinking
233,75,Communication
234,75,Proactivity
235,75,Resilience
236,76,Ethics
237,76,Proactivity
238,76,Communication
239,77,Leadership
240,77,Communication
241,77,Emotional Intelligence
242,78,Complex Thinking
243,78,Leadership
244,78,Ethics
245,79,Leadership
246,79,Proactivity
247,79,Ethics
248,80,Complex Thinking
249,80,Emotional Intelligence
250,80,Resilience
251,81,Leadership
252,81,Proactivity
253,81,Teamwork
254,82,Communication
255,82,Emotional Intelligence
256,82,Proactivity
257,83,Complex Thinking
258,83,Communication
259,83,Teamwork
260,84,Leadership
261,84,Proactivity
262,84,Resilience
263,85,Complex Thinking
264,85,Proactivity
